0_date,miami,formaldate
2019-05-02,0.7507824219885508,2019-05-02
2019-05-03,0.7475959616864077,2019-05-03
2019-05-04,0.7142940961395746,2019-05-04
2019-05-05,0.6696877199902259,2019-05-05
2019-05-06,0.7351151203050181,2019-05-06
2019-05-07,0.7358212734889287,2019-05-07
2019-05-08,0.7510915732282208,2019-05-08
2019-05-09,0.7566193330118977,2019-05-09
2019-05-10,0.7592167855935459,2019-05-10
2019-05-11,0.7250799941691076,2019-05-11
2019-05-12,0.6827895507425694,2019-05-12
2019-05-13,0.7397358048199265,2019-05-13
2019-05-14,0.742498852910777,2019-05-14
2019-05-15,0.7452140850586648,2019-05-15
2019-05-16,0.7500414965321159,2019-05-16
2019-05-17,0.7675313746168699,2019-05-17
2019-05-18,0.730855663136306,2019-05-18
2019-05-19,0.6926910576450456,2019-05-19
2019-05-20,0.7523492097186966,2019-05-20
2019-05-21,0.7587340781180143,2019-05-21
2019-05-22,0.7635168140067935,2019-05-22
2019-05-23,0.7614977740768614,2019-05-23
2019-05-24,0.7754854930819246,2019-05-24
2019-05-25,0.7308918989028695,2019-05-25
2019-05-26,0.7213936173130865,2019-05-26
2019-05-27,0.6868590714222781,2019-05-27
2019-05-28,0.7625984973086469,2019-05-28
2019-05-29,0.7635867386696126,2019-05-29
2019-05-30,0.7701826145339443,2019-05-30
2019-05-31,0.7802440329565657,2019-05-31
2019-06-01,0.7162950574793733,2019-06-01
2019-06-02,0.6832034392919578,2019-06-02
2019-06-03,0.7370760332762619,2019-06-03
2019-06-04,0.7437187202597864,2019-06-04
2019-06-05,0.7446053551980882,2019-06-05
2019-06-06,0.744480936173432,2019-06-06
2019-06-07,0.7369504199392166,2019-06-07
2019-06-08,0.7048919439175336,2019-06-08
2019-06-09,0.6705716230857438,2019-06-09
2019-06-10,0.7236297840593241,2019-06-10
2019-06-11,0.7251499501959282,2019-06-11
2019-06-12,0.7358854171351061,2019-06-12
2019-06-13,0.7315442607148704,2019-06-13
2019-06-14,0.7423335921107099,2019-06-14
2019-06-15,0.7170814402838069,2019-06-15
2019-06-16,0.6679173209860976,2019-06-16
2019-06-17,0.7146016124948316,2019-06-17
2019-06-18,0.7209967716744345,2019-06-18
2019-06-19,0.7302901166588409,2019-06-19
2019-06-20,0.7432854582182571,2019-06-20
2019-06-21,0.7539595481106992,2019-06-21
2019-06-22,0.7252822787756857,2019-06-22
2019-06-23,0.6926085989629555,2019-06-23
2019-06-24,0.7227920808528878,2019-06-24
2019-06-25,0.7202431832341976,2019-06-25
2019-06-26,0.7349122224407447,2019-06-26
2019-06-27,0.7177482754527627,2019-06-27
2019-06-28,0.7352275579962905,2019-06-28
2019-06-29,0.6954932816876578,2019-06-29
2019-06-30,0.6702217079481775,2019-06-30
2019-07-01,0.7145009496977803,2019-07-01
2019-07-02,0.7303401787038005,2019-07-02
2019-07-03,0.7258857718418412,2019-07-03
2019-07-04,0.6804985263588512,2019-07-04
2019-07-05,0.7161759697531461,2019-07-05
2019-07-06,0.68830221218758,2019-07-06
2019-07-07,0.6533293029731421,2019-07-07
2019-07-08,0.7032093663732505,2019-07-08
2019-07-09,0.7178290409946425,2019-07-09
2019-07-10,0.7237982822520803,2019-07-10
2019-07-11,0.7289712691989039,2019-07-11
2019-07-12,0.7270303921327292,2019-07-12
2019-07-13,0.7089422599861148,2019-07-13
2019-07-14,0.6846461385427323,2019-07-14
