0_date,losangeles,formaldate
2019-05-02,0.717451683560758,2019-05-02
2019-05-03,0.7212153232667001,2019-05-03
2019-05-04,0.6829911983919494,2019-05-04
2019-05-05,0.6369642897971429,2019-05-05
2019-05-06,0.6850814490023994,2019-05-06
2019-05-07,0.6949827824396577,2019-05-07
2019-05-08,0.7035017954027416,2019-05-08
2019-05-09,0.7007045879442879,2019-05-09
2019-05-10,0.7097746373935575,2019-05-10
2019-05-11,0.6830585162249828,2019-05-11
2019-05-12,0.6581386020828156,2019-05-12
2019-05-13,0.697961053526897,2019-05-13
2019-05-14,0.6955025090919092,2019-05-14
2019-05-15,0.69981319705682,2019-05-15
2019-05-16,0.6969892131283243,2019-05-16
2019-05-17,0.7295651702731337,2019-05-17
2019-05-18,0.6771230749421581,2019-05-18
2019-05-19,0.6421995478327932,2019-05-19
2019-05-20,0.7058364893082387,2019-05-20
2019-05-21,0.7109884828498091,2019-05-21
2019-05-22,0.7043464267499708,2019-05-22
2019-05-23,0.7252466566382836,2019-05-23
2019-05-24,0.7328843246849724,2019-05-24
2019-05-25,0.6893046595640265,2019-05-25
2019-05-26,0.6598460720633531,2019-05-26
2019-05-27,0.6274498871380294,2019-05-27
2019-05-28,0.7036837121958422,2019-05-28
2019-05-29,0.7256594603013576,2019-05-29
2019-05-30,0.7401324859800179,2019-05-30
2019-05-31,0.7430506833589149,2019-05-31
2019-06-01,0.6797163562148637,2019-06-01
2019-06-02,0.6501943254470941,2019-06-02
2019-06-03,0.7041643764718378,2019-06-03
2019-06-04,0.7093366452752652,2019-06-04
2019-06-05,0.7090731173826831,2019-06-05
2019-06-06,0.7168081991981311,2019-06-06
2019-06-07,0.7217572851842563,2019-06-07
2019-06-08,0.6825625618983753,2019-06-08
2019-06-09,0.6728806622059686,2019-06-09
2019-06-10,0.6985170309932698,2019-06-10
2019-06-11,0.7059308544011196,2019-06-11
2019-06-12,0.708753514698208,2019-06-12
2019-06-13,0.6955161414055337,2019-06-13
2019-06-14,0.7073373989029564,2019-06-14
2019-06-15,0.6938758753467956,2019-06-15
2019-06-16,0.6746472274612693,2019-06-16
2019-06-17,0.6937612495214484,2019-06-17
2019-06-18,0.6899032940366134,2019-06-18
2019-06-19,0.7013734689570249,2019-06-19
2019-06-20,0.7002564319026918,2019-06-20
2019-06-21,0.7074384663728642,2019-06-21
2019-06-22,0.6957552132040133,2019-06-22
2019-06-23,0.6653826095247715,2019-06-23
2019-06-24,0.6977384777197817,2019-06-24
2019-06-25,0.6943630297032396,2019-06-25
2019-06-26,0.7040941764132118,2019-06-26
2019-06-27,0.7071507593901666,2019-06-27
2019-06-28,0.7261946372427448,2019-06-28
2019-06-29,0.7002368325041926,2019-06-29
2019-06-30,0.677849430438323,2019-06-30
2019-07-01,0.6890031204347318,2019-07-01
2019-07-02,0.6975324289426812,2019-07-02
2019-07-03,0.7151354602940178,2019-07-03
2019-07-04,0.6701186946919077,2019-07-04
2019-07-05,0.6993404889829402,2019-07-05
2019-07-06,0.6780794978225723,2019-07-06
2019-07-07,0.6462310305091874,2019-07-07
2019-07-08,0.6844870401574467,2019-07-08
2019-07-09,0.6999147521626601,2019-07-09
2019-07-10,0.7160348258420905,2019-07-10
2019-07-11,0.7115830339171253,2019-07-11
2019-07-12,0.718145969574537,2019-07-12
2019-07-13,0.6916122769958177,2019-07-13
2019-07-14,0.6545024876874245,2019-07-14
2019-07-15,0.6954348829387508,2019-07-15
2019-07-16,0.6978237633627459,2019-07-16
2019-07-17,0.7030211095313524,2019-07-17
2019-07-18,0.707628633958865,2019-07-18
2019-07-19,0.7152600506296568,2019-07-19
2019-07-20,0.7021561463993473,2019-07-20
2019-07-21,0.6751889490404962,2019-07-21
2019-07-22,0.6946400166796717,2019-07-22
2019-07-23,0.7154613804424175,2019-07-23
