0_date,newyorkcity,formaldate
2019-05-02,0.7045157109658537,2019-05-02
2019-05-03,0.7067375020289253,2019-05-03
2019-05-04,0.6338352571044662,2019-05-04
2019-05-05,0.5770475051749295,2019-05-05
2019-05-06,0.6866072401441335,2019-05-06
2019-05-07,0.6872499981488441,2019-05-07
2019-05-08,0.7052368487828466,2019-05-08
2019-05-09,0.6954425929276802,2019-05-09
2019-05-10,0.706378383136774,2019-05-10
2019-05-11,0.6490070346934372,2019-05-11
2019-05-12,0.5844877388150236,2019-05-12
2019-05-13,0.6598797039826685,2019-05-13
2019-05-14,0.6789790044526539,2019-05-14
2019-05-15,0.6910230218314876,2019-05-15
2019-05-16,0.6886841498937125,2019-05-16
2019-05-17,0.701045240398953,2019-05-17
2019-05-18,0.6614139937325522,2019-05-18
2019-05-19,0.6226257002953296,2019-05-19
2019-05-20,0.6895128824918642,2019-05-20
2019-05-21,0.7030896861302871,2019-05-21
2019-05-22,0.7083085642558417,2019-05-22
2019-05-23,0.6957066193489854,2019-05-23
2019-05-24,0.705768025345936,2019-05-24
2019-05-25,0.6660808539467897,2019-05-25
2019-05-26,0.6574427829629783,2019-05-26
2019-05-27,0.6199675522685848,2019-05-27
2019-05-28,0.6578065918752225,2019-05-28
2019-05-29,0.681071878499569,2019-05-29
2019-05-30,0.6893743442084153,2019-05-30
2019-05-31,0.7108168979899512,2019-05-31
2019-06-01,0.6435354237871301,2019-06-01
2019-06-02,0.6072554683909697,2019-06-02
2019-06-03,0.6807699788869325,2019-06-03
2019-06-04,0.6809038094847587,2019-06-04
2019-06-05,0.6857433054343688,2019-06-05
2019-06-06,0.6818357824970032,2019-06-06
2019-06-07,0.7156468807755451,2019-06-07
2019-06-08,0.6725051967966428,2019-06-08
2019-06-09,0.6310355362431389,2019-06-09
2019-06-10,0.6621288283065899,2019-06-10
2019-06-11,0.6761318403793279,2019-06-11
2019-06-12,0.6964414363207633,2019-06-12
2019-06-13,0.6778708546237571,2019-06-13
2019-06-14,0.7102709781041721,2019-06-14
2019-06-15,0.6813233954902634,2019-06-15
2019-06-16,0.6183674067962385,2019-06-16
2019-06-17,0.6948364554029556,2019-06-17
2019-06-18,0.6696460660322759,2019-06-18
2019-06-19,0.6772178454518779,2019-06-19
2019-06-20,0.6840386752101604,2019-06-20
2019-06-21,0.6890624352483463,2019-06-21
2019-06-22,0.6725247350418395,2019-06-22
2019-06-23,0.6522321895820924,2019-06-23
2019-06-24,0.6879148269597116,2019-06-24
2019-06-25,0.6730519643589284,2019-06-25
2019-06-26,0.7047679820692712,2019-06-26
2019-06-27,0.6893358088565529,2019-06-27
2019-06-28,0.6989718285832144,2019-06-28
2019-06-29,0.6542217314596855,2019-06-29
2019-06-30,0.6425452998436755,2019-06-30
2019-07-01,0.6680176695599034,2019-07-01
2019-07-02,0.688242461718764,2019-07-02
2019-07-03,0.6893520843704163,2019-07-03
2019-07-04,0.648348630242235,2019-07-04
2019-07-05,0.6776771131648786,2019-07-05
2019-07-06,0.6461602373072327,2019-07-06
2019-07-07,0.6414615724715486,2019-07-07
2019-07-08,0.6864546291812332,2019-07-08
2019-07-09,0.6976769683661884,2019-07-09
2019-07-10,0.6967161235562231,2019-07-10
2019-07-11,0.6784477335746851,2019-07-11
2019-07-12,0.7022839701190285,2019-07-12
2019-07-13,0.6789402850041322,2019-07-13
2019-07-14,0.6412317803524121,2019-07-14
2019-07-15,0.6980783442544809,2019-07-15
2019-07-16,0.6973030200133414,2019-07-16
2019-07-17,0.6741346924777679,2019-07-17
2019-07-18,0.6587411051176026,2019-07-18
2019-07-19,0.6937340635424369,2019-07-19
2019-07-20,0.6470351337152263,2019-07-20
2019-07-21,0.6086401973329847,2019-07-21
2019-07-22,0.6590004717844563,2019-07-22
2019-07-23,0.6621248948751085,2019-07-23
2019-07-24,0.7035395808429762,2019-07-24
2019-07-25,0.70884449896942,2019-07-25
2019-07-26,0.7082930790353441,2019-07-26
2019-07-27,0.679220505589798,2019-07-27
2019-07-28,0.6528386348806795,2019-07-28
2019-07-29,0.6907687152344743,2019-07-29
2019-07-30,0.6929955215366427,2019-07-30
2019-07-31,0.6907776308510679,2019-07-31
2019-08-01,0.7002946235068341,2019-08-01
2019-08-02,0.7093619260187813,2019-08-02
2019-08-03,0.6691351821208955,2019-08-03
2019-08-04,0.6527119502542497,2019-08-04
2019-08-05,0.6921821036377868,2019-08-05
2019-08-06,0.6711470359084823,2019-08-06
2019-08-07,0.6574645843279437,2019-08-07
2019-08-08,0.6722650871147505,2019-08-08
2019-08-09,0.7126108713492522,2019-08-09
2019-08-10,0.6887656665364251,2019-08-10
2019-08-11,0.66844856169679,2019-08-11
2019-08-12,0.692886183615287,2019-08-12
2019-08-13,0.6769842159822992,2019-08-13
2019-08-14,0.6928384083892272,2019-08-14
2019-08-15,0.7208093470825082,2019-08-15
2019-08-16,0.7140234992227751,2019-08-16
2019-08-17,0.6995544591876244,2019-08-17
2019-08-18,0.6567315520581036,2019-08-18
2019-08-19,0.6931307117144431,2019-08-19
2019-08-20,0.6977971506916083,2019-08-20
2019-08-21,0.6911584007180576,2019-08-21
2019-08-22,0.6967219215534335,2019-08-22
2019-08-23,0.6926227468812162,2019-08-23
2019-08-24,0.6817986974997161,2019-08-24
2019-08-25,0.6571697185034179,2019-08-25
2019-08-26,0.7078216914160905,2019-08-26
2019-08-27,0.6961403228754486,2019-08-27
2019-08-28,0.6912041546920473,2019-08-28
2019-08-29,0.7119900663068266,2019-08-29
2019-08-30,0.728734898443792,2019-08-30
2019-08-31,0.7074214584596715,2019-08-31
2019-09-01,0.6772757936347047,2019-09-01
2019-09-02,0.6115358633756593,2019-09-02
2019-09-03,0.7071906914572321,2019-09-03
2019-09-04,0.7162196344318804,2019-09-04
2019-09-05,0.7267970662393223,2019-09-05
2019-09-06,0.7147623153062101,2019-09-06
2019-09-07,0.6745923192134178,2019-09-07
2019-09-08,0.6416798459710202,2019-09-08
2019-09-09,0.7264255733940755,2019-09-09
2019-09-10,0.7132330985013057,2019-09-10
2019-09-11,0.7125812414486687,2019-09-11
2019-09-12,0.7198226753568292,2019-09-12
2019-09-13,0.72753003928977,2019-09-13
2019-09-14,0.6675528657073782,2019-09-14
2019-09-15,0.6442245075467221,2019-09-15
2019-09-16,0.7093524270540091,2019-09-16
2019-09-17,0.7170397210471786,2019-09-17
2019-09-18,0.7252793546180755,2019-09-18
2019-09-19,0.7173026492654958,2019-09-19
2019-09-20,0.7331431884933406,2019-09-20
2019-09-21,0.6759746042906521,2019-09-21
2019-09-22,0.651018859176686,2019-09-22
2019-09-23,0.7087629820796827,2019-09-23
2019-09-24,0.7250032840949336,2019-09-24
2019-09-25,0.7326908875495226,2019-09-25
2019-09-26,0.7216826878582288,2019-09-26
2019-09-27,0.7354206405739996,2019-09-27
2019-09-28,0.6778129106726439,2019-09-28
2019-09-29,0.6658663031279661,2019-09-29
2019-09-30,0.7017710211941943,2019-09-30
2019-10-01,0.6913440874971617,2019-10-01
2019-10-02,0.7156013759893913,2019-10-02
2019-10-03,0.7332025454547779,2019-10-03
2019-10-04,0.7449611145050016,2019-10-04
2019-10-05,0.6863417084439823,2019-10-05
2019-10-06,0.6551903049821396,2019-10-06
2019-10-07,0.7188318783018627,2019-10-07
2019-10-08,0.7349708864298837,2019-10-08
2019-10-09,0.6557983178343879,2019-10-09
2019-10-10,0.7137104350068839,2019-10-10
2019-10-11,0.7279901292632003,2019-10-11
2019-10-12,0.6852904975301934,2019-10-12
2019-10-13,0.6641555267077841,2019-10-13
2019-10-14,0.6569818726661198,2019-10-14
2019-10-15,0.7110446133628026,2019-10-15
2019-10-16,0.7126171778019778,2019-10-16
2019-10-17,0.7034941131340946,2019-10-17
2019-10-18,0.7252492101979399,2019-10-18
2019-10-19,0.6808810173791553,2019-10-19
2019-10-20,0.6325540261350239,2019-10-20
2019-10-21,0.7097211053008148,2019-10-21
2019-10-22,0.7086505612838279,2019-10-22
2019-10-23,0.7217317117134289,2019-10-23
2019-10-24,0.7316547412502437,2019-10-24
2019-10-25,0.7454531197213728,2019-10-25
2019-10-26,0.6857690771742632,2019-10-26
2019-10-27,0.6079364801362195,2019-10-27
2019-10-28,0.7259113812967559,2019-10-28
2019-10-29,0.7367142872039043,2019-10-29
2019-10-30,0.7413237539370681,2019-10-30
2019-10-31,0.7457470585336909,2019-10-31
