0_date,boston,formaldate
2019-05-02,0.7330303824567629,2019-05-02
2019-05-03,0.7279577218862082,2019-05-03
2019-05-04,0.6786917137310337,2019-05-04
2019-05-05,0.6347611230539898,2019-05-05
2019-05-06,0.7124340172004235,2019-05-06
2019-05-07,0.7049333842240982,2019-05-07
2019-05-08,0.7201716357927592,2019-05-08
2019-05-09,0.7244180027911852,2019-05-09
2019-05-10,0.7229024178878822,2019-05-10
2019-05-11,0.6931844112084845,2019-05-11
2019-05-12,0.634499828828356,2019-05-12
2019-05-13,0.6861125328921666,2019-05-13
2019-05-14,0.7046332899026437,2019-05-14
2019-05-15,0.7120022825714638,2019-05-15
2019-05-16,0.7227497892530615,2019-05-16
2019-05-17,0.7198713732881931,2019-05-17
2019-05-18,0.7100221865215894,2019-05-18
2019-05-19,0.6457086932008816,2019-05-19
2019-05-20,0.7057740474248567,2019-05-20
2019-05-21,0.7201490733918423,2019-05-21
2019-05-22,0.728405633882935,2019-05-22
2019-05-23,0.7245254564764642,2019-05-23
2019-05-24,0.7336306055501111,2019-05-24
2019-05-25,0.7051042512154121,2019-05-25
2019-05-26,0.7039161712381543,2019-05-26
2019-05-27,0.6637677453530407,2019-05-27
2019-05-28,0.7025715568860822,2019-05-28
2019-05-29,0.720602987830245,2019-05-29
2019-05-30,0.7268708813922568,2019-05-30
2019-05-31,0.7318783851745909,2019-05-31
2019-06-01,0.6894784314761535,2019-06-01
2019-06-02,0.6375188006026447,2019-06-02
2019-06-03,0.7015897757290702,2019-06-03
2019-06-04,0.7200404101682222,2019-06-04
2019-06-05,0.6973947881267702,2019-06-05
2019-06-06,0.7023933368186912,2019-06-06
2019-06-07,0.7452150822448906,2019-06-07
2019-06-08,0.7156538560243247,2019-06-08
2019-06-09,0.6780076876586295,2019-06-09
2019-06-10,0.7052098344136178,2019-06-10
2019-06-11,0.7009810666335997,2019-06-11
2019-06-12,0.7269145889528402,2019-06-12
2019-06-13,0.6980413910863982,2019-06-13
2019-06-14,0.7402928681145664,2019-06-14
2019-06-15,0.7235497081951772,2019-06-15
2019-06-16,0.6434344077508578,2019-06-16
2019-06-17,0.7289759004309116,2019-06-17
2019-06-18,0.7103294651102595,2019-06-18
2019-06-19,0.7126552266090587,2019-06-19
2019-06-20,0.7039418271395521,2019-06-20
2019-06-21,0.6950049717018186,2019-06-21
2019-06-22,0.7088897884309152,2019-06-22
2019-06-23,0.6874767919519442,2019-06-23
2019-06-24,0.7029416749987349,2019-06-24
2019-06-25,0.6864813875937151,2019-06-25
2019-06-26,0.7068970526106619,2019-06-26
2019-06-27,0.7148051836657446,2019-06-27
2019-06-28,0.7209383163176799,2019-06-28
2019-06-29,0.6582221635194861,2019-06-29
2019-06-30,0.6421211727012349,2019-06-30
2019-07-01,0.7045901389109087,2019-07-01
2019-07-02,0.7133891991270436,2019-07-02
2019-07-03,0.7249054481996701,2019-07-03
2019-07-04,0.6831507070350726,2019-07-04
2019-07-05,0.7076401757540188,2019-07-05
2019-07-06,0.6636707940834201,2019-07-06
2019-07-07,0.660128676337743,2019-07-07
2019-07-08,0.7335853459992506,2019-07-08
2019-07-09,0.7343178844504569,2019-07-09
2019-07-10,0.7268219535970796,2019-07-10
2019-07-11,0.7116500713896119,2019-07-11
2019-07-12,0.7087983942523018,2019-07-12
2019-07-13,0.7091192514634166,2019-07-13
2019-07-14,0.6880425165182751,2019-07-14
2019-07-15,0.7186370024795323,2019-07-15
2019-07-16,0.7110623332669963,2019-07-16
2019-07-17,0.6725870206631148,2019-07-17
2019-07-18,0.6982615769824184,2019-07-18
2019-07-19,0.7269940310903986,2019-07-19
2019-07-20,0.6903284290151146,2019-07-20
2019-07-21,0.6509785327184455,2019-07-21
2019-07-22,0.6714592814962543,2019-07-22
2019-07-23,0.6898361610559857,2019-07-23
2019-07-24,0.7280406984064888,2019-07-24
2019-07-25,0.7396121837643369,2019-07-25
2019-07-26,0.7491155231788565,2019-07-26
2019-07-27,0.7250027262448806,2019-07-27
2019-07-28,0.6901167381182167,2019-07-28
2019-07-29,0.7284578455087617,2019-07-29
2019-07-30,0.7203041372154949,2019-07-30
2019-07-31,0.7240078461218388,2019-07-31
2019-08-01,0.7172666572914048,2019-08-01
2019-08-02,0.7386587143757642,2019-08-02
2019-08-03,0.7086919030209629,2019-08-03
2019-08-04,0.6879845369204026,2019-08-04
2019-08-05,0.7088628427909868,2019-08-05
2019-08-06,0.7159956010525317,2019-08-06
2019-08-07,0.6767560218343333,2019-08-07
2019-08-08,0.6835341490238144,2019-08-08
2019-08-09,0.7419394001739528,2019-08-09
2019-08-10,0.7262919800216143,2019-08-10
2019-08-11,0.6940161020993396,2019-08-11
2019-08-12,0.7290183394537242,2019-08-12
2019-08-13,0.7265739695560274,2019-08-13
2019-08-14,0.7420366583523929,2019-08-14
2019-08-15,0.7516599979282057,2019-08-15
2019-08-16,0.7426810715614541,2019-08-16
2019-08-17,0.7143802686117869,2019-08-17
2019-08-18,0.6862094928808419,2019-08-18
2019-08-19,0.7231844142413703,2019-08-19
2019-08-20,0.7301487570676942,2019-08-20
2019-08-21,0.7145166441522086,2019-08-21
2019-08-22,0.7373683456407731,2019-08-22
2019-08-23,0.7346740466014636,2019-08-23
2019-08-24,0.7281245769265068,2019-08-24
2019-08-25,0.6934838350175866,2019-08-25
2019-08-26,0.738428534133725,2019-08-26
2019-08-27,0.7357595522610736,2019-08-27
2019-08-28,0.7297052467746613,2019-08-28
2019-08-29,0.7494092121372421,2019-08-29
2019-08-30,0.7570635613043392,2019-08-30
2019-08-31,0.7471183178675136,2019-08-31
2019-09-01,0.7164495750771068,2019-09-01
2019-09-02,0.6583487165763187,2019-09-02
2019-09-03,0.7380288190356828,2019-09-03
2019-09-04,0.7347314407230642,2019-09-04
2019-09-05,0.7322345491883187,2019-09-05
2019-09-06,0.7452971183149962,2019-09-06
2019-09-07,0.7071296024185915,2019-09-07
2019-09-08,0.6709569871927183,2019-09-08
2019-09-09,0.7455207342064744,2019-09-09
2019-09-10,0.7352358527443157,2019-09-10
2019-09-11,0.7441741904559148,2019-09-11
