0_date,seattle,formaldate
2019-05-02,0.7207715934901096,2019-05-02
2019-05-03,0.7187592993579001,2019-05-03
2019-05-04,0.6848776438137429,2019-05-04
2019-05-05,0.6504122737193155,2019-05-05
2019-05-06,0.7158806262246357,2019-05-06
2019-05-07,0.7111648583073664,2019-05-07
2019-05-08,0.7125212682134383,2019-05-08
2019-05-09,0.7140790974730551,2019-05-09
2019-05-10,0.7239678687857998,2019-05-10
2019-05-11,0.688415811016656,2019-05-11
2019-05-12,0.6502131562829587,2019-05-12
2019-05-13,0.6961944752784117,2019-05-13
2019-05-14,0.7030787633061458,2019-05-14
2019-05-15,0.7091723960686874,2019-05-15
2019-05-16,0.7159622219773493,2019-05-16
2019-05-17,0.7265304249219814,2019-05-17
2019-05-18,0.6880487514999861,2019-05-18
2019-05-19,0.6543836665175357,2019-05-19
2019-05-20,0.7058769280912077,2019-05-20
2019-05-21,0.7205466136275128,2019-05-21
2019-05-22,0.7277240089576785,2019-05-22
2019-05-23,0.7305937341725582,2019-05-23
2019-05-24,0.7222301167801173,2019-05-24
2019-05-25,0.6820714839059434,2019-05-25
2019-05-26,0.6744372490666034,2019-05-26
2019-05-27,0.6435823919440421,2019-05-27
2019-05-28,0.7223917244991745,2019-05-28
2019-05-29,0.7252491740270636,2019-05-29
2019-05-30,0.7309486799153465,2019-05-30
2019-05-31,0.743917263852735,2019-05-31
2019-06-01,0.6850491403156376,2019-06-01
2019-06-02,0.6552431496852446,2019-06-02
2019-06-03,0.706326243909305,2019-06-03
2019-06-04,0.7221859682690827,2019-06-04
2019-06-05,0.7168929797621838,2019-06-05
2019-06-06,0.7220907823874054,2019-06-06
2019-06-07,0.7264258535355164,2019-06-07
2019-06-08,0.6945154220685352,2019-06-08
2019-06-09,0.659915375356733,2019-06-09
2019-06-10,0.7181583613041496,2019-06-10
2019-06-11,0.7254268443223483,2019-06-11
2019-06-12,0.7267271217632566,2019-06-12
2019-06-13,0.7092961406639529,2019-06-13
2019-06-14,0.7391913270890585,2019-06-14
2019-06-15,0.6951620050637884,2019-06-15
2019-06-16,0.6657307124557514,2019-06-16
2019-06-17,0.7085067499304094,2019-06-17
