0_date,dallas,formaldate
2019-05-02,0.7278377216651019,2019-05-02
2019-05-03,0.7407880520328105,2019-05-03
2019-05-04,0.7125806873228959,2019-05-04
2019-05-05,0.6827914864435654,2019-05-05
2019-05-06,0.7378881845345607,2019-05-06
2019-05-07,0.7268063255422755,2019-05-07
2019-05-08,0.7046061344607589,2019-05-08
2019-05-09,0.7362316361386565,2019-05-09
2019-05-10,0.7407296103801851,2019-05-10
2019-05-11,0.6795320192281827,2019-05-11
2019-05-12,0.6979798457587955,2019-05-12
2019-05-13,0.7317328569502956,2019-05-13
2019-05-14,0.7464639185218856,2019-05-14
2019-05-15,0.7460553556381668,2019-05-15
2019-05-16,0.7553213573521298,2019-05-16
2019-05-17,0.7508952853230063,2019-05-17
2019-05-18,0.6648487284536625,2019-05-18
2019-05-19,0.6906217674956397,2019-05-19
2019-05-20,0.7330116289855397,2019-05-20
2019-05-21,0.7309470940962339,2019-05-21
2019-05-22,0.7579627478770127,2019-05-22
2019-05-23,0.7632669095410135,2019-05-23
2019-05-24,0.7649912873213535,2019-05-24
2019-05-25,0.7370019354730087,2019-05-25
2019-05-26,0.7133413123219351,2019-05-26
2019-05-27,0.6768930478667649,2019-05-27
2019-05-28,0.7303771373741376,2019-05-28
2019-05-29,0.7237182851971262,2019-05-29
2019-05-30,0.7517719339660434,2019-05-30
2019-05-31,0.7559095537193917,2019-05-31
2019-06-01,0.6983041912510289,2019-06-01
2019-06-02,0.6679031256673371,2019-06-02
2019-06-03,0.7172707059539757,2019-06-03
2019-06-04,0.7252785887698204,2019-06-04
2019-06-05,0.7132991358985895,2019-06-05
2019-06-06,0.7263928363357198,2019-06-06
2019-06-07,0.7459261899983664,2019-06-07
2019-06-08,0.7322484880529554,2019-06-08
2019-06-09,0.690800832381791,2019-06-09
2019-06-10,0.7381845461012527,2019-06-10
2019-06-11,0.7400209333341697,2019-06-11
2019-06-12,0.7435004339067678,2019-06-12
2019-06-13,0.7340358836036014,2019-06-13
2019-06-14,0.7531256939903854,2019-06-14
2019-06-15,0.7292263703046723,2019-06-15
2019-06-16,0.659908708071616,2019-06-16
2019-06-17,0.7270109667214533,2019-06-17
2019-06-18,0.7310315105589142,2019-06-18
2019-06-19,0.7064028604836072,2019-06-19
2019-06-20,0.7321283754358621,2019-06-20
2019-06-21,0.7440949834261542,2019-06-21
2019-06-22,0.7204302753560907,2019-06-22
2019-06-23,0.6637394378470501,2019-06-23
2019-06-24,0.6960900088793931,2019-06-24
2019-06-25,0.723003286058455,2019-06-25
2019-06-26,0.7245009406901074,2019-06-26
2019-06-27,0.735012125941817,2019-06-27
2019-06-28,0.7431091747535025,2019-06-28
2019-06-29,0.6988309164769789,2019-06-29
2019-06-30,0.6838618225698334,2019-06-30
2019-07-01,0.7034248454037341,2019-07-01
2019-07-02,0.7290662612970337,2019-07-02
2019-07-03,0.7427553653146082,2019-07-03
2019-07-04,0.7011384895157492,2019-07-04
2019-07-05,0.7253974731095569,2019-07-05
2019-07-06,0.6939604255619013,2019-07-06
2019-07-07,0.6762580967508622,2019-07-07
2019-07-08,0.7122342657266345,2019-07-08
2019-07-09,0.7248101131276414,2019-07-09
2019-07-10,0.7157572092217495,2019-07-10
2019-07-11,0.7264848191929585,2019-07-11
2019-07-12,0.7498163005309644,2019-07-12
2019-07-13,0.7184843188695637,2019-07-13
2019-07-14,0.6820757818281824,2019-07-14
2019-07-15,0.7266437756625477,2019-07-15
2019-07-16,0.7278640536391515,2019-07-16
2019-07-17,0.7248134558453725,2019-07-17
2019-07-18,0.7308827902072198,2019-07-18
2019-07-19,0.7358220649031814,2019-07-19
2019-07-20,0.7169301254903511,2019-07-20
2019-07-21,0.6918587983887351,2019-07-21
2019-07-22,0.7120611779043998,2019-07-22
2019-07-23,0.7322948675106129,2019-07-23
2019-07-24,0.7378457165637254,2019-07-24
2019-07-25,0.7366504518478849,2019-07-25
2019-07-26,0.7565393683067597,2019-07-26
2019-07-27,0.7378453357711888,2019-07-27
2019-07-28,0.7029776655104756,2019-07-28
2019-07-29,0.7277478319552212,2019-07-29
2019-07-30,0.7383227119989704,2019-07-30
2019-07-31,0.7499444527402839,2019-07-31
2019-08-01,0.7413004900848847,2019-08-01
2019-08-02,0.7462084938453224,2019-08-02
2019-08-03,0.7051866558056652,2019-08-03
2019-08-04,0.6843321760471126,2019-08-04
2019-08-05,0.7159444894862952,2019-08-05
2019-08-06,0.7196705521498729,2019-08-06
2019-08-07,0.7323963100551719,2019-08-07
2019-08-08,0.7283339712998569,2019-08-08
2019-08-09,0.7577928405673674,2019-08-09
2019-08-10,0.7299473877263237,2019-08-10
2019-08-11,0.7063627002301407,2019-08-11
2019-08-12,0.7350215026430695,2019-08-12
2019-08-13,0.730607604427563,2019-08-13
2019-08-14,0.7436265280347413,2019-08-14
2019-08-15,0.7634252424226788,2019-08-15
2019-08-16,0.7629241109046315,2019-08-16
2019-08-17,0.7329877942741941,2019-08-17
2019-08-18,0.7012256767219206,2019-08-18
2019-08-19,0.7608518505382834,2019-08-19
2019-08-20,0.7602513319486057,2019-08-20
2019-08-21,0.7624149391097718,2019-08-21
2019-08-22,0.7659987817220301,2019-08-22
2019-08-23,0.7635001948012685,2019-08-23
2019-08-24,0.718477627538639,2019-08-24
2019-08-25,0.6916907470854347,2019-08-25
2019-08-26,0.7450284569751233,2019-08-26
2019-08-27,0.7495011838563446,2019-08-27
2019-08-28,0.7617068422781573,2019-08-28
2019-08-29,0.7742131085520192,2019-08-29
2019-08-30,0.7788208824587857,2019-08-30
2019-08-31,0.7437402768813998,2019-08-31
2019-09-01,0.7132981838947026,2019-09-01
2019-09-02,0.6719731119238116,2019-09-02
2019-09-03,0.7583869149850252,2019-09-03
2019-09-04,0.760278722214499,2019-09-04
2019-09-05,0.7620086862368016,2019-09-05
2019-09-06,0.7653708133442444,2019-09-06
2019-09-07,0.7158670963567378,2019-09-07
2019-09-08,0.6784022530575282,2019-09-08
2019-09-09,0.747406824897396,2019-09-09
2019-09-10,0.7569900159150237,2019-09-10
2019-09-11,0.7572192245471103,2019-09-11
2019-09-12,0.7592035707156021,2019-09-12
2019-09-13,0.7666599910035021,2019-09-13
2019-09-14,0.7271636858989537,2019-09-14
2019-09-15,0.6770243463089088,2019-09-15
2019-09-16,0.7511700774689626,2019-09-16
2019-09-17,0.7504099283553998,2019-09-17
2019-09-18,0.7511014927960957,2019-09-18
2019-09-19,0.7543910194171671,2019-09-19
2019-09-20,0.7626843720336421,2019-09-20
2019-09-21,0.7266617021250982,2019-09-21
2019-09-22,0.6859856319413258,2019-09-22
2019-09-23,0.7417531584914216,2019-09-23
2019-09-24,0.7567705972021257,2019-09-24
2019-09-25,0.7606762075706779,2019-09-25
2019-09-26,0.7589167454271175,2019-09-26
2019-09-27,0.7712736304462341,2019-09-27
2019-09-28,0.7288924218412888,2019-09-28
2019-09-29,0.7047161549024359,2019-09-29
2019-09-30,0.7665138330028602,2019-09-30
2019-10-01,0.7518578809168359,2019-10-01
2019-10-02,0.7602668122712751,2019-10-02
2019-10-03,0.7721814770017867,2019-10-03
2019-10-04,0.7841093569945847,2019-10-04
2019-10-05,0.7434251507342904,2019-10-05
2019-10-06,0.6938012751594292,2019-10-06
2019-10-07,0.7474602997386381,2019-10-07
2019-10-08,0.7638034524993711,2019-10-08
2019-10-09,0.7594001284670743,2019-10-09
2019-10-10,0.7381895550095818,2019-10-10
2019-10-11,0.7410870641732611,2019-10-11
2019-10-12,0.7282412987255201,2019-10-12
2019-10-13,0.6858319088565732,2019-10-13
2019-10-14,0.7112841375199966,2019-10-14
2019-10-15,0.7102485247175491,2019-10-15
2019-10-16,0.7562126444914362,2019-10-16
2019-10-17,0.7516631991105175,2019-10-17
2019-10-18,0.7624921845262959,2019-10-18
2019-10-19,0.7313100872939664,2019-10-19
2019-10-20,0.6840856063468481,2019-10-20
2019-10-21,0.7411430225888002,2019-10-21
2019-10-22,0.7574212231424691,2019-10-22
2019-10-23,0.760148433493952,2019-10-23
2019-10-24,0.7476512838363892,2019-10-24
2019-10-25,0.7494805153542862,2019-10-25
2019-10-26,0.7309099398729848,2019-10-26
2019-10-27,0.6939908706693265,2019-10-27
2019-10-28,0.7585061490628643,2019-10-28
2019-10-29,0.7549515274509672,2019-10-29
2019-10-30,0.7595284949447191,2019-10-30
2019-10-31,0.7927187208566574,2019-10-31
2019-11-01,0.7788456122431298,2019-11-01
2019-11-02,0.7338876407158154,2019-11-02
2019-11-03,0.6943628925840029,2019-11-03
2019-11-04,0.7639164456226705,2019-11-04
2019-11-05,0.7554882021767216,2019-11-05
2019-11-06,0.7643794295314523,2019-11-06
2019-11-07,0.7569323476193028,2019-11-07
2019-11-08,0.7770985570351177,2019-11-08
2019-11-09,0.7208251391603325,2019-11-09
2019-11-10,0.6872892782001285,2019-11-10
2019-11-11,0.7274666104661918,2019-11-11
2019-11-12,0.7405577252194812,2019-11-12
2019-11-13,0.7573029352739645,2019-11-13
2019-11-14,0.7634948099697183,2019-11-14
2019-11-15,0.7770143075735568,2019-11-15
2019-11-16,0.7279792564116816,2019-11-16
2019-11-17,0.6813142717451395,2019-11-17
2019-11-18,0.7591787360188642,2019-11-18
2019-11-19,0.7601841166891838,2019-11-19
2019-11-20,0.7662729442298619,2019-11-20
2019-11-21,0.7684331397608661,2019-11-21
2019-11-22,0.7747714691546513,2019-11-22
2019-11-23,0.7218634022314087,2019-11-23
2019-11-24,0.6947949548318637,2019-11-24
2019-11-25,0.7342312203771642,2019-11-25
2019-11-26,0.7394975926019604,2019-11-26
2019-11-27,0.746478589086953,2019-11-27
2019-11-28,0.6875543726161494,2019-11-28
2019-11-29,0.7175052580558312,2019-11-29
2019-11-30,0.7366988550353836,2019-11-30
2019-12-01,0.6691580046539866,2019-12-01
2019-12-02,0.7534250420875179,2019-12-02
2019-12-03,0.7541381008131668,2019-12-03
2019-12-04,0.7618325931358599,2019-12-04
2019-12-05,0.7630163577704422,2019-12-05
2019-12-06,0.7765993904401002,2019-12-06
2019-12-07,0.7308910988601629,2019-12-07
2019-12-08,0.6880574677961042,2019-12-08
2019-12-09,0.7549430692234027,2019-12-09
2019-12-10,0.7484282651477613,2019-12-10
2019-12-11,0.7622333251371124,2019-12-11
2019-12-12,0.7610497279439276,2019-12-12
2019-12-13,0.773135705855712,2019-12-13
2019-12-14,0.7410191676443283,2019-12-14
2019-12-15,0.692176600731219,2019-12-15
2019-12-16,0.7403934759122902,2019-12-16
2019-12-17,0.7559477261218231,2019-12-17
2019-12-18,0.7653455383269404,2019-12-18
2019-12-19,0.7670791254853919,2019-12-19
2019-12-20,0.7662833406384872,2019-12-20
2019-12-21,0.7319025842747879,2019-12-21
2019-12-22,0.7159956906727606,2019-12-22
2019-12-23,0.7406052273704419,2019-12-23
2019-12-24,0.7434949837364893,2019-12-24
2019-12-25,0.6520187846199202,2019-12-25
2019-12-26,0.7183378444065985,2019-12-26
2019-12-27,0.7382039115915745,2019-12-27
2019-12-28,0.6973643128678416,2019-12-28
2019-12-29,0.6916169500542693,2019-12-29
2019-12-30,0.7403007100798491,2019-12-30
2019-12-31,0.7721089630051651,2019-12-31
2020-01-01,0.6858670603379012,2020-01-01
2020-01-02,0.7400831157301441,2020-01-02
2020-01-03,0.7586139623327921,2020-01-03
2020-01-04,0.7366487518849204,2020-01-04
2020-01-05,0.7065775523521286,2020-01-05
2020-01-06,0.7527755012787234,2020-01-06
2020-01-07,0.7834391125516812,2020-01-07
2020-01-08,0.7947683055117443,2020-01-08
2020-01-09,0.7930614743474297,2020-01-09
2020-01-10,0.7781336845880156,2020-01-10
2020-01-11,0.7271087896809657,2020-01-11
2020-01-12,0.7192561754080156,2020-01-12
2020-01-13,0.7922004639471657,2020-01-13
2020-01-14,0.8003243484674408,2020-01-14
2020-01-15,0.8171643977814799,2020-01-15
2020-01-16,0.7921248083291136,2020-01-16
2020-01-17,0.7998879713244011,2020-01-17
2020-01-18,0.7716417339137016,2020-01-18
2020-01-19,0.7372600404855458,2020-01-19
2020-01-20,0.7550699729171024,2020-01-20
2020-01-21,0.8048259277087616,2020-01-21
2020-01-22,0.8003645580869944,2020-01-22
2020-01-23,0.8080503199132888,2020-01-23
2020-01-24,0.8211065794877316,2020-01-24
2020-01-25,0.7772167861728374,2020-01-25
2020-01-26,0.7356599324249207,2020-01-26
2020-01-27,0.8061989552378721,2020-01-27
2020-01-28,0.8026229858111297,2020-01-28
2020-01-29,0.8104343296718874,2020-01-29
2020-01-30,0.812078533872999,2020-01-30
2020-01-31,0.8335420841711682,2020-01-31
2020-02-01,0.7551162829165968,2020-02-01
2020-02-02,0.7044799606770621,2020-02-02
2020-02-03,0.7609348572205269,2020-02-03
2020-02-04,0.7697943904492776,2020-02-04
2020-02-05,0.7421772154690086,2020-02-05
2020-02-06,0.777967068404557,2020-02-06
2020-02-07,0.7851876533283055,2020-02-07
2020-02-08,0.7578184540379951,2020-02-08
2020-02-09,0.7048684851808394,2020-02-09
2020-02-10,0.7720204741755171,2020-02-10
2020-02-11,0.7710065773853808,2020-02-11
2020-02-12,0.779564177404914,2020-02-12
2020-02-13,0.7719416320580178,2020-02-13
2020-02-14,0.8071553601303735,2020-02-14
2020-02-15,0.7612973532209864,2020-02-15
2020-02-16,0.7477956298821348,2020-02-16
2020-02-17,0.7638236187256882,2020-02-17
2020-02-18,0.7969737787668084,2020-02-18
2020-02-19,0.7718064262586842,2020-02-19
2020-02-20,0.8015150396676118,2020-02-20
2020-02-21,0.8026385414273872,2020-02-21
2020-02-22,0.7702540512821602,2020-02-22
2020-02-23,0.7343878662272013,2020-02-23
2020-02-24,0.7957260343892654,2020-02-24
2020-02-25,0.6688722093032267,2020-02-25
2020-02-26,0.8146032426275591,2020-02-26
2020-02-27,0.8231101715504587,2020-02-27
2020-02-28,0.8212579143146469,2020-02-28
2020-02-29,0.7851938137883322,2020-02-29
2020-03-01,0.7156055498793388,2020-03-01
2020-03-02,0.7761378378714304,2020-03-02
2020-03-03,0.8015490553876946,2020-03-03
2020-03-04,0.7686777737093132,2020-03-04
2020-03-05,0.8017909856433021,2020-03-05
2020-03-06,0.8115529638488627,2020-03-06
2020-03-07,0.7818991773577064,2020-03-07
2020-03-08,0.7368414406583885,2020-03-08
2020-03-09,0.7810485631209146,2020-03-09
2020-03-10,0.7890588866920325,2020-03-10
2020-03-11,0.7910624599663435,2020-03-11
2020-03-12,0.7578719397487595,2020-03-12
2020-03-13,0.76341820989241,2020-03-13
2020-03-14,0.7109182956077545,2020-03-14
2020-03-15,0.6649098721912261,2020-03-15
2020-03-16,0.6999180578264667,2020-03-16
2020-03-17,0.6733279568519016,2020-03-17
2020-03-18,0.6639746813008705,2020-03-18
2020-03-19,0.6547556502498642,2020-03-19
2020-03-20,0.6380360477594413,2020-03-20
2020-03-21,0.5816747645554075,2020-03-21
2020-03-22,0.5702584808978292,2020-03-22
2020-03-23,0.6426670808667815,2020-03-23
2020-03-24,0.6147993663344797,2020-03-24
2020-03-25,0.6300763302406529,2020-03-25
2020-03-26,0.6012663724544699,2020-03-26
2020-03-27,0.6087873393694917,2020-03-27
2020-03-28,0.6021816483411441,2020-03-28
2020-03-29,0.5640673124121766,2020-03-29
2020-03-30,0.564167297851003,2020-03-30
2020-03-31,0.6020169102322284,2020-03-31
2020-04-01,0.5722579176547626,2020-04-01
2020-04-02,0.5665094353921358,2020-04-02
2020-04-03,0.5661351650460754,2020-04-03
2020-04-04,0.5254157938360823,2020-04-04
2020-04-05,0.5053641329291723,2020-04-05
2020-04-06,0.5555493965163386,2020-04-06
2020-04-07,0.5730550909488891,2020-04-07
2020-04-08,0.5800011762032897,2020-04-08
2020-04-09,0.5898622262984197,2020-04-09
2020-04-10,0.6129753779478078,2020-04-10
2020-04-11,0.5650202433420245,2020-04-11
2020-04-12,0.5240091630292958,2020-04-12
2020-04-13,0.5633993086583601,2020-04-13
2020-04-14,0.5796792480121138,2020-04-14
2020-04-15,0.5983064066327655,2020-04-15
2020-04-16,0.6035035784659423,2020-04-16
2020-04-17,0.613288341077252,2020-04-17
2020-04-18,0.6057691329060453,2020-04-18
2020-04-19,0.5515896148692724,2020-04-19
2020-04-20,0.5863551974975325,2020-04-20
2020-04-21,0.6121020870836179,2020-04-21
2020-04-22,0.6040989463174226,2020-04-22
2020-04-23,0.6353813926400307,2020-04-23
2020-04-24,0.6513181388314119,2020-04-24
2020-04-25,0.642174209708983,2020-04-25
2020-04-26,0.6127733558331154,2020-04-26
2020-04-27,0.6233346801809443,2020-04-27
2020-04-28,0.6224375375184968,2020-04-28
2020-04-29,0.6285251839523648,2020-04-29
2020-04-30,0.6447407894381666,2020-04-30
2020-05-01,0.6482374251920363,2020-05-01
2020-05-02,0.6473414922297902,2020-05-02
2020-05-03,0.5934423645588328,2020-05-03
2020-05-04,0.6136862073335667,2020-05-04
2020-05-05,0.624830838344687,2020-05-05
2020-05-06,0.6544900875447041,2020-05-06
2020-05-07,0.6339063884682269,2020-05-07
2020-05-08,0.6497226019130625,2020-05-08
2020-05-09,0.6845863321079154,2020-05-09
2020-05-10,0.6571900754602726,2020-05-10
2020-05-11,0.6376592055708664,2020-05-11
2020-05-12,0.6360103603045283,2020-05-12
2020-05-13,0.6524181073315999,2020-05-13
2020-05-14,0.6550667126166705,2020-05-14
2020-05-15,0.6648627773914578,2020-05-15
2020-05-16,0.6042231766038288,2020-05-16
2020-05-17,0.6357329150768428,2020-05-17
2020-05-18,0.657936073031168,2020-05-18
2020-05-19,0.6541636332392937,2020-05-19
2020-05-20,0.6675801727833913,2020-05-20
2020-05-21,0.6772181006250579,2020-05-21
2020-05-22,0.6947280178823729,2020-05-22
2020-05-23,0.6827239463713368,2020-05-23
2020-05-24,0.6241531827477368,2020-05-24
2020-05-25,0.5971070048084949,2020-05-25
2020-05-26,0.6775297140150194,2020-05-26
2020-05-27,0.6810100090720521,2020-05-27
2020-05-28,0.6900428801274315,2020-05-28
2020-05-29,0.7094630497963431,2020-05-29
2020-05-30,0.7311532210434949,2020-05-30
2020-05-31,0.6622599987189045,2020-05-31
2020-06-01,0.6828408023797369,2020-06-01
2020-06-02,0.6773008637661568,2020-06-02
2020-06-03,0.69922471022682,2020-06-03
2020-06-04,0.7105386216691336,2020-06-04
2020-06-05,0.7201158728386076,2020-06-05
2020-06-06,0.7105192304002833,2020-06-06
2020-06-07,0.6725625767768082,2020-06-07
2020-06-08,0.6989870353910177,2020-06-08
2020-06-09,0.6970085494756441,2020-06-09
2020-06-10,0.698860468399384,2020-06-10
2020-06-11,0.6955918451943629,2020-06-11
2020-06-12,0.7059379006727486,2020-06-12
2020-06-13,0.7143981323282707,2020-06-13
2020-06-14,0.6732532240846635,2020-06-14
2020-06-15,0.6863824846355376,2020-06-15
2020-06-16,0.6768016226796696,2020-06-16
2020-06-17,0.7040874802238253,2020-06-17
2020-06-18,0.7094992458047118,2020-06-18
2020-06-19,0.6927558529399397,2020-06-19
2020-06-20,0.7015079138365589,2020-06-20
2020-06-21,0.649472990751923,2020-06-21
2020-06-22,0.6779387104338197,2020-06-22
2020-06-23,0.6731377973216687,2020-06-23
2020-06-24,0.7005762431684118,2020-06-24
2020-06-25,0.6978471983664732,2020-06-25
2020-06-26,0.7076774633841837,2020-06-26
2020-06-27,0.6942998608485023,2020-06-27
2020-06-28,0.6529117131144196,2020-06-28
2020-06-29,0.6812420036773547,2020-06-29
2020-06-30,0.7025780426902923,2020-06-30
2020-07-01,0.6961659645408068,2020-07-01
2020-07-02,0.6923640419495083,2020-07-02
2020-07-03,0.7104751521096205,2020-07-03
2020-07-04,0.6884156202450372,2020-07-04
2020-07-05,0.6379362600974458,2020-07-05
2020-07-06,0.6655337279778277,2020-07-06
2020-07-07,0.6788138446935589,2020-07-07
2020-07-08,0.6885344675650757,2020-07-08
2020-07-09,0.6956792926781673,2020-07-09
2020-07-10,0.7092006387279933,2020-07-10
2020-07-11,0.6961137103810954,2020-07-11
2020-07-12,0.6545116381343766,2020-07-12
2020-07-13,0.6790877698511791,2020-07-13
2020-07-14,0.6902534713724899,2020-07-14
2020-07-15,0.6900955147014737,2020-07-15
2020-07-16,0.6962971390298851,2020-07-16
2020-07-17,0.7083079571082406,2020-07-17
2020-07-18,0.6879732457385356,2020-07-18
2020-07-19,0.6552742205536961,2020-07-19
2020-07-20,0.6886342218582592,2020-07-20
2020-07-21,0.6958699498813978,2020-07-21
2020-07-22,0.7061015653269914,2020-07-22
2020-07-23,0.7064832751528877,2020-07-23
2020-07-24,0.7158009482734503,2020-07-24
2020-07-25,0.7073191503540336,2020-07-25
2020-07-26,0.6621060044874276,2020-07-26
2020-07-27,0.6940959316947082,2020-07-27
2020-07-28,0.6906474887032615,2020-07-28
2020-07-29,0.7172044543419747,2020-07-29
2020-07-30,0.7128522854676713,2020-07-30
2020-07-31,0.7368736446786301,2020-07-31
2020-08-01,0.7249551222915375,2020-08-01
2020-08-02,0.6834764953492528,2020-08-02
2020-08-03,0.6973850735161244,2020-08-03
2020-08-04,0.7064026894364134,2020-08-04
2020-08-05,0.7040743810235177,2020-08-05
2020-08-06,0.7047874347029427,2020-08-06
2020-08-07,0.7349003190974135,2020-08-07
2020-08-08,0.7263803367657824,2020-08-08
2020-08-09,0.6667466358188977,2020-08-09
2020-08-10,0.6999602292174298,2020-08-10
2020-08-11,0.7015590298823032,2020-08-11
2020-08-12,0.7085890712562946,2020-08-12
2020-08-13,0.7116991722600328,2020-08-13
2020-08-14,0.7393628779492325,2020-08-14
2020-08-15,0.7289822550706017,2020-08-15
2020-08-16,0.6726607926270118,2020-08-16
2020-08-17,0.7015961713830579,2020-08-17
2020-08-18,0.713343879377723,2020-08-18
2020-08-19,0.7067977419852971,2020-08-19
2020-08-20,0.7204070167645029,2020-08-20
2020-08-21,0.7363458354905108,2020-08-21
2020-08-22,0.7329232720954573,2020-08-22
2020-08-23,0.6897477065076697,2020-08-23
2020-08-24,0.705510199803279,2020-08-24
2020-08-25,0.7168818959878176,2020-08-25
2020-08-26,0.7131646587206165,2020-08-26
2020-08-27,0.7101283420171439,2020-08-27
2020-08-28,0.7338471372454118,2020-08-28
2020-08-29,0.7243979184722802,2020-08-29
2020-08-30,0.6843644291176548,2020-08-30
